Bildname,Label,Wahrscheinlichkeit(%)
10_70501950.jpg,"wreck",11.77
10_70501975.jpg,"volcano",58.25
11_70501950.jpg,"balloon",31.93
11_70501975.jpg,"solar dish, solar collector, solar furnace",10.30
12_70501950.jpg,"jigsaw puzzle",72.11
12_70501975.jpg,"trimaran",13.16
13_70501950.jpg,"obelisk",28.72
13_70501975.jpg,"trimaran",13.49
14_70501950.jpg,"solar dish, solar collector, solar furnace",14.00
14_70501975.jpg,"alp",16.26
15_70501950.jpg,"maze, labyrinth",8.98
15_70501975.jpg,"broccoli",8.86
16_70501950.jpg,"hammer",14.39
16_70501975.jpg,"viaduct",69.32
17_70501950.jpg,"envelope",48.06
17_70501975.jpg,"solar dish, solar collector, solar furnace",60.39
18_70501950.jpg,"jigsaw puzzle",21.53
18_70501975.jpg,"street sign",15.73
19_70501950.jpg,"jigsaw puzzle",62.62
19_70501975.jpg,"solar dish, solar collector, solar furnace",8.19
1_70501950.jpg,"solar dish, solar collector, solar furnace",37.87
1_70501975.jpg,"solar dish, solar collector, solar furnace",63.86
20_70501950.jpg,"suspension bridge",16.39
20_70501975.jpg,"tile roof",8.36
21_70501950.jpg,"container ship, containership, container vessel",30.37
21_70501975.jpg,"castle",12.82
22_70501950.jpg,"balloon",74.91
22_70501975.jpg,"viaduct",33.07
23_70501950.jpg,"alp",18.83
23_70501975.jpg,"coral reef",41.23
24_70501950.jpg,"crane",18.38
24_70501975.jpg,"broccoli",20.71
25_70501950.jpg,"maze, labyrinth",5.91
25_70501975.jpg,"alp",12.07
2_70501950.jpg,"solar dish, solar collector, solar furnace",70.69
2_70501975.jpg,"laptop, laptop computer",21.99
3_70501950.jpg,"viaduct",63.19
3_70501975.jpg,"balloon",10.78
4_70501950.jpg,"alp",15.86
4_70501975.jpg,"alp",15.23
5_70501950.jpg,"broccoli",42.90
5_70501975.jpg,"cliff, drop, drop-off",19.58
6_70501950.jpg,"laptop, laptop computer",14.92
6_70501975.jpg,"maze, labyrinth",20.49
7_70501950.jpg,"hammer",21.03
7_70501975.jpg,"castle",48.40
8_70501950.jpg,"maze, labyrinth",10.39
8_70501975.jpg,"jigsaw puzzle",43.10
9_70501950.jpg,"viaduct",54.07
9_70501975.jpg,"volcano",32.78
